key,type,summary,project,module,priority,status,resolution,assignee,reporter,created,resolved,resolution_days,first_response_hours,first_response_method,reopened_in_july,link
INTRISK-102954,created_in_july,Risks and Controls Column Management unresponsive,INTRISK,grc_universe_client,Major,Closed,Done,Manil Kumar,justin.hageman,2026-07-02,2026-07-02,0.23,,none,yes,https://jira.atl.workiva.net/browse/INTRISK-102954
INTRISK-102967,created_in_july,Risks and Controls-could not uncheck Show/hide checkbox ,INTRISK,grc_universe_client,Major,New,,Manil Kumar,justin.hageman,2026-07-02,,,,none,,https://jira.atl.workiva.net/browse/INTRISK-102967
INTRISK-103128,created_in_july,Prod Support:The previous year cannot be opened or accessed within the Test Form.,INTRISK,Unassigned,Major,Closed,Can't Reproduce,Rannith Mohan,rannith.mohan,2026-07-06,2026-07-08,2.33,,none,,https://jira.atl.workiva.net/browse/INTRISK-103128
INTRISK-103359,created_in_july,Fix runtime type errors after sound null safety migration,INTRISK,sa-tools-data-modeler,Major,Merged,,Manil Kumar,APIrmconsole,2026-07-09,,,,none,,https://jira.atl.workiva.net/browse/INTRISK-103359
INTRISK-103418,created_in_july,Prod Support: Mapping Projects (Beta) hangs on grey screen after loading — EU Prod,INTRISK,sa-tools-data-modeler,Major,Closed,Duplicate,Rannith Mohan,rannith.mohan,2026-07-10,2026-07-10,0.06,,none,,https://jira.atl.workiva.net/browse/INTRISK-103418
INTRISK-103492,created_in_july,"[Data Modeler] NextGen Parsing (Beta): Clicking ""+"" to add a project after importing crashes the Data Parsing view (ErrorBoundary caught, console errors)",INTRISK,sa-tools-data-modeler,Minor,New,,,rannith.mohan,2026-07-13,,,,none,,https://jira.atl.workiva.net/browse/INTRISK-103492
INTRISK-103493,created_in_july,Prodsupport-Review Plan send for review fails with 500 from workflow-user-task-service,INTRISK,sa-tools-data-modeler,Minor,Closed,Addressed,Manil Kumar,manil.kumar,2026-07-13,2026-07-14,0.96,,none,,https://jira.atl.workiva.net/browse/INTRISK-103493
INTRISK-103547,created_in_july,Prod Support: Test phase review log not showing when sent for review,INTRISK,grc-services,Minor,Closed,Addressed,Manil Kumar,manil.kumar,2026-07-14,2026-08-03,20.04,,none,,https://jira.atl.workiva.net/browse/INTRISK-103547
INTRISK-103621,created_in_july,Dialog dies when selecting request on audit creation from existing.,INTRISK,audit,Major,Closed,Addressed,Suresh Rajendran,randi.cunningham,2026-07-15,2026-07-16,1.01,3.71,first_non_bot_comment,,https://jira.atl.workiva.net/browse/INTRISK-103621
INTRISK-103632,created_in_july,Prod Support: Deleted attachment edges persist on CSA — falsely reflected in Reports,INTRISK,form-service,Major,Closed,Addressed,Manil Kumar,api-engops,2026-07-16,2026-07-21,5.40,129.68,first_non_bot_comment,,https://jira.atl.workiva.net/browse/INTRISK-103632
INTRISK-103749,created_in_july,Prod Support: Test commit is failingin changeset-service,INTRISK,sa-tools-changeset-service,Minor,Closed,Addressed,Manil Kumar,manil.kumar,2026-07-20,2026-07-21,0.70,,none,,https://jira.atl.workiva.net/browse/INTRISK-103749
INTRISK-103769,created_in_july,fix: raise TDeserializer max message size for Thrift 0.24.0,INTRISK,sa-tools-changeset-service,Major,Closed,Done,Manil Kumar,APIrmconsole,2026-07-21,2026-07-23,2.11,,none,yes,https://jira.atl.workiva.net/browse/INTRISK-103769
INTRISK-103882,created_in_july,Disable/Remove New Relic Dependabot Alerts for Forms Repositories,INTRISK,Unassigned,Minor,In Progress,,Manil Kumar,manil.kumar,2026-07-23,,,,none,,https://jira.atl.workiva.net/browse/INTRISK-103882
INTRISK-103934,created_in_july,Display proper error message when import fails due to lack of permissions(Frontend)),INTRISK,graph_app,Minor,In Progress,,Rannith Mohan,rannith.mohan,2026-07-24,,,,none,,https://jira.atl.workiva.net/browse/INTRISK-103934
INTRISK-104011,created_in_july,"There was an unexpected issue pasting markup"" error toast appears when user copy/paste the markup in to the file(APTQ-24663)",INTRISK,Unassigned,Blocker,New,,Suresh Rajendran,kaviyarasan.mannan,2026-07-28,,,,none,,https://jira.atl.workiva.net/browse/INTRISK-104011
INTRISK-101994,closed_in_july_only,Fix report column format error causing incorrect display,INTRISK,graph_app,Major,Closed,Done,Shivesh Pandey,manil.kumar,2026-06-12,2026-07-02,19.50,0.00,first_non_bot_comment,yes,https://jira.atl.workiva.net/browse/INTRISK-101994
INTRISK-100615,closed_in_july_only,Permission issues with Action Plans being linked to Issues,INTRISK,2026-classic-grc,Major,Closed,Done,Shivesh Pandey,kumaresan.perumal,2026-04-30,2026-07-03,63.51,,none,yes,https://jira.atl.workiva.net/browse/INTRISK-100615
INTRISK-102747,closed_in_july_only,Show Create Chart from Table menu in non-English locales,INTRISK,graph_app,Major,Closed,Done,Manil Kumar,APIrmconsole,2026-06-30,2026-07-08,8.72,,none,yes,https://jira.atl.workiva.net/browse/INTRISK-102747
INTRISK-102119,closed_in_july_only,Fix Failing Signals Test: graph_app_sandbox_LinkCreation (Plan 4936476290),INTRISK,graph_app,Major,Closed,Done,Rannith Mohan,api-engops,2026-06-16,2026-07-28,41.46,145.27,first_non_bot_comment,yes,https://jira.atl.workiva.net/browse/INTRISK-102119
