module,0–7,8–14,15–30,31–60,>60,total
graph_app,0,1,0,6,25,32
Unassigned,1,1,0,1,12,15
toolbox,0,0,0,0,11,11
aptara_testing,0,0,0,0,8,8
sa-tools-data-modeler,0,0,2,2,3,7
asn_IR,0,0,0,0,5,5
from_support,0,0,0,1,3,4
GRC-EventHorizon,0,0,0,0,4,4
sa-tools-parsing,0,0,0,0,3,3
graph-ui,0,0,0,0,3,3
asn_GRC,0,0,0,0,3,3
2026-classic-grc,0,0,0,0,3,3
sa-tools-graph-structure,0,0,0,0,2,2
sa-tools-rollforward,0,0,0,0,2,2
sa-tools-parsing-client,0,0,0,0,2,2
sa-tools-toolbox,0,0,0,1,1,2
audit,0,0,0,0,2,2
graph-template-creation-service,0,0,0,0,2,2
asn_grc,0,0,0,0,2,2
sa-tools-doc-prep-ui,0,0,0,0,1,1
w_office_online_frame,0,0,0,0,1,1
report_wranglers,0,0,0,0,1,1
sa-tools-changeset-service,0,0,0,0,1,1
aptqa_bug,0,0,0,0,1,1
sa-tools-data-selections,0,0,0,0,1,1
asn_moca,0,0,0,0,1,1
graph_admin,0,0,0,0,1,1
graph-rpc-service,0,0,0,0,1,1
publishing-service-api-go,0,0,0,0,1,1
asn_ir,0,0,0,0,1,1
publishing-service,0,0,0,0,1,1
BDO,0,0,0,0,1,1
NNBD,0,0,0,1,0,1
SUPP-77722,0,0,0,1,0,1
grc_universe_client,0,0,0,1,0,1
